UUID,sentences
eit72x9f7yyEb8G2oaFQ6b,This article describes a way to periodically move on-premise Cassandra data to S3 for analysis Were been using this approach successfully over the last few months in order to get the best of both worlds for an early-stage platform such as 1200aero: The cost effectiveness of on-premise hosting for a stable live workload and the on-demand scalability of AWS for data analysis and machine learningOur end goal was to upload data to S3 organized as follows: To that effect we performed the following steps described in detail in this article: For your reference we used Cassandra 311 and Spark 231 both straight open source versions • Building a Django POST face-detection API using OpenCV and Haar Cascades • Understanding and building Generative Adversarial Networks(GANs) • Learning from mistakes with Hindsight Experience Replay • Predicting buying behavior using Machine LearningThe data we want to analyze consists of millions of low-altitude air traffic messages captured from ADS-B receivers at a number of regional airports The original table definition is: Notice the primary key is (icao gentime) Cassandra data models are designed with a specific data retrieval use case in mind Our applications query data by aircraft identifier so our partitioning column is the aircrafts icao (a 6-character hex transponder code) followed by gentime (a timestamp) as the clustering column that orders records chronologically within each partitionProblem: In order to periodically export a day/week/months worth of data we needed to be able to retrieve records by date Since such attribute did not originally exist we had to: Defining a new date column in Cassandra is straightforward: However populating it proved more complex than anticipated: We had to update several hundred million records and did not find a suitable CQL UPDATE statement to do so in place (ie deriving day from the gentime timestamp) After evaluating all alternatives we ended up doing this: Export the primary key for every record to a CSV file using CQL: Output file: Update the file in Unix to create a new field based on the existing timestamp: The above yielded a file with the new attribute: Import the modified file into the same table which updates every record with just the new column value leaving all other fields intact: The import took several hours but worked flawlessly In hindsight its still far from ideal and required some research to guarantee the safety of the data but given the lack of support in Cassandra its as good a solution we could findPrior to creating our first Cassandra materialized view we considered secondary indexes However the many caveats and words of caution from experienced users led us in the direction of materialized viewsMaterialized view creation ran in background for ~12 hours as it duplicated and organized the data This query reports any builds in progress: To date we have not observed a significant performance overhead associated with the materialized view DataStax found that every materialized view takes away ~10% of the insert performance on a given tableOnce we had the means to retrieve the data by date we had to ensure that the Spark Cassandra connector issued the right queries to retrieve the data efficientlySpark configuration parameters for the Cassandra connector (passed when creating a SparkConf via spark-submit sparkmagic in Jupyter etc): Import the right packages define a dataset on the Cassandra table: Filter data for a specific date: …or for a number of dates (discrete dates must be specified in an IN condition): To verify that your filter will be applied to the Cassandra table print the physical plan with dfexplain() There should be predicates (ie actual values) being pushed down to the data source as in these examples: Important: Attempts to filter the dataset that dont conform to the connector documentation will cause Spark to issue a full table scan to Cassandra (and thus defeat the purpose of reorganizing your data as done in Step 1)As a reminder our goal was to lay the data in S3 partitioned by date example: So rather than partitioning the dataset by the whole date string (eg 2018 11 06) we needed to partition by its components (year month day) Hence we had to first convert the day column into year month and day columns: At long last we had our data available in Spark with the necessary attributes and partitioned by the criteria we neededSetting up Spark to push data to S3 was pretty easy Required AWS libraries are included in the Hadoop distribution Spark depends upon All we had to configure were the following five entries in $SPARK_HOME/conf/spark-defaultsconf: Now we were ready to partition and push the data to S3 in a single instruction: Performance of the above statement is surprisingly fast (in part due to Parquet files being much smaller than their CSV equivalents) Loading a days worth of records (~500000 rows) completes in less than one minuteWe use SaveModeAppend to make it possible to load additional days without deleting existing dataNote: The s3a URL prefix has desirable performance and capacity implications for large file operations such as ParquetFrom here sky is the limit You can spin an EMR cluster and query S3 directly with an arbitrary number of cluster nodes Alternatively you can also launch a Sagemaker notebook and point it to EMR Spark following similar steps to those outlined in my previous article And as of the time of writing Boto3 the AWS SDK for Python now makes it possible to issue basic SQL queries against Parquet files in S3Future articles will describe how 1200aero is using these data to predict potentially hazardous situations for general aviation aircraft
FBbr4ipgZWYUJmvhk8iDX2,
fwSKxXMWiBEE6gpLEnfupV,
XtYdtvd9J6rFMH7SwZ3Gcj,
JvT3qFqkpb679mvs3rxJ5g,
PGmabj7aMotHnmG7uhSWkZ,
a2oTgWdBnm2rgBFDzcyqaj,
FuiFWWhFxJRUjFYSgbcysr,
AAyU6T8xHJDZbcPfVAUSPm,
QwzUYUiFmavv65Zznd2PH6,
StT8MFDpgEnu93qHCPZ5VN,
72YPLfL6Cr372cQMPvWjuT,
JMsyTVkebU9JQcJnnZFRkX,
Gb3CzFTB7aHcfBj63xbH7h,
Uu73AKYNsQyiesMgvCHNMB,
HJbeYpFGiMNomckEPhfrff,
kyY5Y5tE242syE7uQtoJ8o,
hNSHpihJgbyt94DLXBmVXu,
ZYFS95PjHEaWWQtDQJytFc,
697M6LtcoaFYEUuwCwR6JG,
ZhDuuUhL7fr56EZiHLX9vP,
dFPhRMDLmmH2NbXTYKoVk2,
h7tFUTHxHUofccfSE8j7ft,
UMm5qJzfPM3fckoqKUQcvW,
9FeWyUeHUEN6UpN99LURWg,
jypWGaXj8fRtq3yaSyCeyy,
PEowLvvhcEjv2ozWC8eVtk,
EYZhARnkC5XAVsK7GnrXnw,
dywJ7CrMoRWabog28T6orP,
BMAkUKq3SVH3rrLMAPGDhX,
YNTevzooRYZQUXYAGSyqow,
L3Ngu73wVGXb63HatE6ppR,
VucmGS2c3MfzzQAq2XTrPB,
dH2nixNWRwyucywzJpdEjn,
fc6yo7ZLgP7Eg4nofMoGna,
KNh7ZyXkGCP7dp9SR8g6zw,
ectUH4UcYseuEGnRXQNKCf,
E55BBtsiSVJEpUU4YQqYyu,
95zgt5FsTyAuMvctmeJNsd,
DYBBfM9yz8fnEEuWrP68hU,
QQHgCSZLnGs358X2URRxrq,
LpVpYVDZZmNetSzB943Vkp,
FvwtoXif6zUS4nvyqcjE8G,
ESPpiepSbzARNQ8zxedwf4,
Tjnr2HpwSdKWGsEV6NbkXN,
aSAXMeQbP4eHGUWMURFrJa,
meCWn8BYuK7e2xaEsQsp4R,
acASi7sqx2EibJRgGgZrc4,
PGBQKyUsU5TLB6wAibzoZe,
kD5M89jsX4PDwRjrkeaJPJ,
6TYi9yygPwCdTzEeEeQYyQ,
MF3QtiDUXFXAuJgyd8jzjf,
SCJU94bsMprcuejbTcQpri,
57ioHRcp34afgpuKwJHKjr,
gnwYicetVRb9EMxv24tjFK,
VWuiVkGr6EVhtsZiiLX9mD,
UicCj7WQqJg2idq5K68oWQ,
E3SQLjSkcQ2J6b9iBoKaPh,
ERkRdAFxocZ3cQ2cSBth55,
oFZGAmAzGRaPFAULJoeEq2,
H2DQHdHDwnNgY6gSCKTpEC,
4TFYV8URZotAyyKLSfPMi8,
hgiFW8dWcbAS8ijv53aitp,
YdxDVfMLzcqVZv96LxMCKs,
5WFMZjMAKzWaZEWyLzPDdL,
2qdxKMVB79AiQnANf4eVhr,
mph3xY82XXAicBFWT5Drc3,
LyvNPs43fEetuEm583WYnc,
MPciq8QuqcboGRqFKF7gLE,
8UbDzHwv6mxqXsBuhS7bMw,
nudEZFoXpegH34dsn5hXim,
SwrGWMMGRZjtLF3KWhPvmt,
QRNN2z2HZhsqdmFNTsFEXg,
Umd5ypMyzt3QcnKJ3rVMGz,
YGEAibVKjxsY25iyq8Fpkb,
k62H7ECMpFg3GdybFaWosA,
CTouuNi3daUUcSLbiMLqxm,
a42innx4daTNzDUdT26Wwp,
WVznyr3KybSW852Q4d2iFm,
aX5JJ3B6sJ2qMPesnWMxQJ,
Vp64kNgnJwK7WSJpBVdKSC,
ms5xUSgL68U9PJgUGVtVT8,
o6NZCiHHfTqd8iMVuHetBM,
m3rmdqcCa72kZkfqaYwie3,
YRmrCL6eBrnYXLrH6ByQMC,
