,child,parent,color,rel_level
0,Steps,Supervised_learning,red,1
1,Algorithm choice,Supervised_learning,red,1
2,How supervised learning algorithms work,Supervised_learning,red,1
3,Generative training,Supervised_learning,red,1
4,Generalizations,Supervised_learning,red,1
5,Approaches and algorithms,Supervised_learning,red,1
6,Applications,Supervised_learning,red,1
7,General issues,Supervised_learning,red,1
8,See also,Supervised_learning,red,1
9,References,Supervised_learning,red,1
10,External links,Supervised_learning,red,1
11,Bias-variance tradeoff,Algorithm choice,blue,2
12,Function complexity and amount of training data,Algorithm choice,blue,2
13,Dimensionality of the input space,Algorithm choice,blue,2
14,Noise in the output values,Algorithm choice,blue,2
15,Other factors to consider,Algorithm choice,blue,2
16,Algorithms,Algorithm choice,blue,2
17,Empirical risk minimization,How supervised learning algorithms work,blue,2
18,Structural risk minimization,How supervised learning algorithms work,blue,2
