,child,parent,color,rel_level
0,History,Supervised_learning,red,1
1,Regression model,Supervised_learning,red,1
2,Underlying assumptions,Supervised_learning,red,1
3,Linear regression,Supervised_learning,red,1
4,Nonlinear regression,Supervised_learning,red,1
5,Interpolation and extrapolation,Supervised_learning,red,1
6,Power and sample size calculations,Supervised_learning,red,1
7,Other methods,Supervised_learning,red,1
8,Software,Supervised_learning,red,1
9,See also,Supervised_learning,red,1
10,References,Supervised_learning,red,1
11,Further reading,Supervised_learning,red,1
12,External links,Supervised_learning,red,1
13,General linear model,Linear regression,blue,2
14,Diagnostics,Linear regression,blue,2
15,Limited dependent variables,Linear regression,blue,2
